"DEPARTMENT_ID","DEPARTMENT_DESCRIPTION","CLASS_ID","CLASS_DESCRIPTION","SUBCLASS_ID","SUBCLASS_DESCRIPTION","MANUFACTURER","BRAND","MODELLINE","MANUFACTURER_SKU","RETAILER_SKU","SIZE","RETAIL_LIST_PRICE","STORE_NUMBER","STORE_NAME","STORE_ADDRESS","STORE_CITY","STORE_STATE","STORE_ZIP_CODE","END_OF_FISCAL_WEEK_DATE","TOTAL_UNITS_SOLD","TOTAL_DOLLARS_SOLD","VIN"
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","185.05",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","2","167.04","FL887593"
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","2","162.74",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","6","Youngstown 06","1014 Poland Avenue","Youngstown","OH","44502","11-30-2019","2","170",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","6","Youngstown 06","1014 Poland Avenue","Youngstown","OH","44502","11-30-2019","1","85",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","2.5","237.5",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","3","310.65",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","3","310.65",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","31","Maxie Tire 31","83 Whittlesey","Norwalk","OH","44857","11-30-2019","2","199.02",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","3.5","315.88",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","3","310.65",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","1","116.37",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","2","214","J7440902"
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","SERVICE CALL","SC","SC","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","2","170","EM042653"
"0","Tire","25","Light Truck","1490","Winter","Firestone","Winterforce CV","235/65R16C~FIR~Winterforce CV~E / 10 BL 121/119R TL","005842","2356516FIR005842","235/65R16C","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","4","656",""
"0","Tire","25","Light Truck","1490","Winter","Firestone","Winterforce CV","235/65R16C~FIR~Winterforce CV~E / 10 BL 121/119R TL","005842","2356516FIR005842","235/65R16C","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","4","656","1FTBW2CG2JKB22148"
"12","Other Part","-276","Retail Mechanical","-405","Preventative Maint - Fluids","Mechanical","Fluids","5W20 MULTI VIS MOTOR OIL           ","5W20","5W20","","0","51","Akron 51","547 Wolf Ledges Parkway","Akron","OH","44311","11-30-2019","6","15.13","1FDSF34L42EC88961"
"0","Tire","26","Medium Truck","105","Drive","Firestone","FD691","11R22.5~FIR~FD691~G/14 BW  TL","241558","11225FIR241558","11R22.5","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","4","1444.4","1FVACXDC45HV30364"
"0","Tire","26","Medium Truck","105","Drive","Firestone","FD691","11R22.5~FIR~FD691~G/14 BW  TL","241558","11225FIR241558","11R22.5","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","2","722.2","1FVACXDC47HX27697"
"0","Tire","60","Medium Truck","266","Drive","Michelin","X One Line Grip D","445/50R22.5~MIC~X One Line Grip D~L/20","55210","44550225MIC55210","0","0","31","Maxie Tire 31","83 Whittlesey","Norwalk","OH","44857","11-30-2019","1","1044.86",""
"0","Tire","39","Medium Truck","168","Steer","Goodyear","Marathon LHS","295/75R22.5~GOO~Marathon LHS~H / 16 BW  TL","756809089","29575225GOO756809089","295/75R22.5","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","1","427.74",""
"3","Casing","-11","Casings","-68","Casings","MRT","Capped","22.5 LOW PROFILE RADIAL CASING     ","C225LP","C225LP","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","-1","-50",""
"-7","Discounts","-53","Eastern Region","-138","Default","Promotion","Default","EASTERN REGION CA0047796989 MIKE L","ERDD","ERDD","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","-87.2","-872",""
"-2","Local Labor","-34","Commercial Truck Service","-245","Tire Repair","Service","Tire Repair","REMOVE AND REPLACE","RR20","RR20","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","15",""
"-2","Local Labor","-34","Commercial Truck Service","-245","Tire Repair","Service","Tire Repair","REMOVE AND REPLACE","RR20","RR20","","0","31","Maxie Tire 31","83 Whittlesey","Norwalk","OH","44857","11-30-2019","2","45.1",""
"-2","Local Labor","-34","Commercial Truck Service","-245","Tire Repair","Service","Tire Repair","REMOVE AND REPLACE","RR20","RR20","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","12",""
"-2","Local Labor","-34","Commercial Truck Service","-245","Tire Repair","Service","Tire Repair","REMOVE AND REPLACE","RR20","RR20","","0","51","Akron 51","547 Wolf Ledges Parkway","Akron","OH","44311","11-30-2019","1","12",""
"-2","Local Labor","-34","Commercial Truck Service","-245","Tire Repair","Service","Tire Repair","REMOVE AND REPLACE","RR20","RR20","","0","51","Akron 51","547 Wolf Ledges Parkway","Akron","OH","44311","11-30-2019","1","12",""
"-2","Local Labor","-277","Commercial Mechanical","-414","Labor","Mechanical","Labor","SERVICE CALL LIGHT MECHANICAL","SCLM           ","SCLM           ","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","175",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","MILES","MILE","MILE","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","45","49.95",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","MILES","MILE","MILE","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","95","105.45",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","MILES","MILE","MILE","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","40","44.4",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","MILES","MILE","MILE","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","63","69.93",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","MILES","MILE","MILE","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","63","69.93",""
"-2","Local Labor","-34","Commercial Truck Service","-249","Truck","Service","Truck","MILES","MILE","MILE","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","140","155.4",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","SHOP SUPPLIES","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","3.5",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","SHOP","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","5",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","BALANCE & COATED WHEEL WEIGHTS","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","5",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","BALANCE & COATED WHEEL WEIGHTS","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","3.5",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","BALANCE & COATED WHEEL WEIGHTS","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","3.5",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","BALANCE & COATED WHEEL WEIGHTS","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","4","14","1FVACXDC45HV30364"
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","SHOP","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","3.25",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","SHOP SUPPLIES","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","4",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","SHOP SUPPLIES","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","8",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","SHOP SUPPLIES ","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","8",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","BALANCE & COATED WHEEL WEIGHTS","WW","WW","","0","51","Akron 51","547 Wolf Ledges Parkway","Akron","OH","44311","11-30-2019","1","5","1FDRF3GT9GEB96892"
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","BALANCE & COATED WHEEL WEIGHTS","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","4","14",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","BALANCE & COATED WHEEL WEIGHTS","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","4","14",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","BALANCE & COATED WHEEL WEIGHTS","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","2","10",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","BALANCE & COATED WHEEL WEIGHTS","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","4","20",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","BALANCE & COATED WHEEL WEIGHTS","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","4","20","1FTBW2CG2JKB22148"
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","SHOP SUPPLIES ","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","15",""
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","SHOP SUPPLIES","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","3.5","1HTMMAAM47H435258"
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","SHOP SUPPLIES","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","4","14","1FVACXDC47HX27697"
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","SHOP SUPPLIES","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","-4","-14","1FVACXDC47HX27697"
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","SHOP SUPPLIES","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","4","14","1FDXF47P66EC24405"
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","SHOP SUPPLIES","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","2","7","1FVACXDC47HX27697"
"12","Other Part","-276","Retail Mechanical","-410","Parts","Mechanical","Parts","BALANCE & COATED WHEEL WEIGHTS","WW","WW","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","5",""
"12","Other Part","-276","Retail Mechanical","-405","Preventative Maint - Fluids","Mechanical","Fluids","FILTER                             ","OF1","OF1","","0","51","Akron 51","547 Wolf Ledges Parkway","Akron","OH","44311","11-30-2019","1","8.46","1FDSF34L42EC88961"
"16","Stock Retread","-13","Medium Truck - Cap & Casing","-45","Trailer","MRT","XONE MET","445/50R22.5 MRT X ONE MET RET A","06071A","44550225MRT06071A","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","1","275.75","FL887593"
"-9","Tire Service","-276","Retail Mechanical","-407","Tire Service ","Mechanical","Tire Enhancement Dollars","TIRE PATCH - PLUG REPAIR","FLR","FLR","","0","45","Mahone Retail 45","1615 14th St. ","Parkersburg","WV","26101","11-30-2019","1","18","1GD373CG6F1146758"
"0","Tire","39","Medium Truck","169","Trailer","Goodyear","G316 LHT Fuel Max","11R22.5~GOO~G316 LHT Fuel Max~G/14 BW 144 TL","138953263","11225GOO138953263","11R22.5","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","1","459",""
"12","Other Part","-276","Retail Mechanical","-401","Under Hood","Mechanical","Headlights/Lights","BULB 2 CAB LIGHTS                           ","BU","BU","","0","51","Akron 51","547 Wolf Ledges Parkway","Akron","OH","44311","11-30-2019","2","3.06","1FDSF34L42EC88961"
"4","Retread","416","Medium Truck - Cap Only","1304","All Position","MRT","XZA","11R22.5~MRT~XZA","66077","11225MRT66077","11R22.5","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","143.92",""
